SEQ NO.,BRAND CODE,DESCRIPTION, WITHDRAWAL PRICE , RETAIL PRICE , WHOLESALE PRICE , RETAIL DISCOUNT , WHOLESALE DISCOUNT ,CARTON CONVERSION 
1,BAKING POWDER 100G,, 29.02 , 32.95 , 32.95 ,,, 24.0 
2,BAKING SODA  125G,, 11.58 , 13.15 , 13.15 ,,, 48.0 
3,BAKING SODA 250G,, 22.24 , 25.25 , 25.25 ,,, 24.0 
4,BAKING SODA 500G,, 38.71 , 43.95 , 43.95 ,,, 12.0 
5,SALTED BLACK BEANS_ SUP 100G,, 14.34 , 16.45 , 16.45 ,,, 48.0 
6,BREAD CRUMBS  100G ,, 13.76 , 16.00 , 16.00 ,,, 48.0 
7,BREAD CRUMBS 230G,, 31.25 , 36.40 , 36.40 ,,, 24.0 
8,BREAD CRUMBS 500G,, 64.39 , 73.45 , 73.45 ,,, 12.0 
9,BREAD CRUMBS 1kg.,, 128.83 , 147.00 , 147.00 ,,, 6.0 
10,SWEET CREAM STYLE CORN 410G,, 37.95 , 43.80 , 43.80 ,,, 24.0 
11,WHOLE KERNEL CORN 410G,, 37.95 , 43.80 , 43.80 ,,, 24.0 
12,YOUNG CORN 410G,, 53.25 , 60.45 , 60.45 ,,, 24.0 
13,RAM CORNSTARCH  200G,, 26.09 , 29.60 , 29.60 ,,, 48.0 
14,RAM CORNSTARCH  400G,, 48.36 , 54.90 , 54.90 ,,, 24.0 
15,CORSTARCH 12X1kg,, 96.77 , 109.80 , 109.80 ,,, 12.0 
16,ALL PURPOSE FLOUR 200G,, 22.22 , 25.20 , 25.20 ,,, 48.0 
17,ALL PURPOSE FLOUR  400G,, 43.51 , 49.40 , 49.40 ,,, 24.0 
18,DESICCATED COCONUT 100 G,, 37.08 , 42.20 , 42.20 ,,, 24.0 
19,DESICCATED COCONUT 200 G,, 63.61 , 70.35 , 70.35 ,,, 24.0 
20,TROPICAL FRUIT COCKTAIL 432G,, 64.79 , 68.20 , 68.20 ,,, 24.0 
21,TROPICAL FRIUT COCKTAIL 822G,, 91.91 , 103.70 , 103.70 ,,, 24.0 
22,TROPICAL FRUIT COCKTAIL 3060G,, 285.09 , 308.00 , 308.00 ,,, 6.0 
23,HOTCAKE MIX 200G,, -   , 21.30 , 21.30 ,,, 48.0 
24,HOTCAKE MIX  400G,, -   , 42.50 , 42.50 ,,, 24.0 
25,ELBOW MACARONI 200G,, 19.91 , 22.60 , 22.60 ,,, 48.0 
26,ELBOW MACARONI 400G,, 38.87 , 44.10 , 44.10 ,,, 24.0 
27,ELBOW MACARONI 1 KG,, 84.79 , 93.75 , 93.75 ,,, 12.0 
28,SALAD MACARONI 200G,, 19.91 , 22.60 , 22.60 ,,, 48.0 
29,SALAD MACARONI 400G,, 38.87 , 44.10 , 44.10 ,,, 24.0 
30,SALAD MACARONI 1 KG ,, 84.79 , 93.75 , 93.75 ,,, 12.0 
31,MUSHROOMS WHOLE 198G,, 32.68 , 37.80 , 37.80 ,,, 48.0 
32,MUSHROOMS WHOLE 400G,, 51.35 , 58.75 , 58.75 ,,, 24.0 
33,MUSHROOMS PIECES @ STEMS 198G,, 29.82 , 34.50 , 34.50 ,,, 48.0 
34,MUSHROOMS PIECES @ STEMS 400G,, 44.00 , 50.35 , 50.35 ,,, 24.0 
35,INSTANT OATS 200G,, -   , 35.45 , 35.45 ,,, 48.0 
36,INSTANT OATS 500G,, -   , 82.70 , 82.70 ,,, 24.0 
37,SPAGHETTI SAUCE SWEET STYLE 500g,, 48.40 , 54.95 , 54.95 ,,, 18.0 
38,SPAGHETTI SAUCE SWEET STYLE 900g,, 69.72 , 77.10 , 77.10 ,,, 12.0 
39,PREMIUM SPAGHETTI 400g,, 38.87 , 44.10 , 44.10 ,,, 24.0 
40,PREMIUM SPAGHETTI 450G,, -   , 44.10 , 44.10 ,,, 24.0 
41,PREMIUM SPAGHETTI 900KG,, 74.81 , 82.75 , 82.75 ,,, 18.0 
42,RAM BDL.SWEET 900g/PASTA 700g,, 106.55 , 120.00 , 120.00 ,,, 10.0 
43,BUNDLE PACK PASTA/ SWEET 1KG ,, -   , 154.25 , 154.25 ,,, 8.0 
44,SPAGHETTI SAUCE SWEET STYLE  250G,, 23.21 , 25.65 , 25.65 ,,, 36.0 
45,SPAGHETTI SAUCE SWEET STYLE 560G,, -   , 54.95 , 54.95 ,,, 18.0 
46,SPAGHETTI SAUCE SWEET STYLE 1K,, -   , 77.10 , 77.10 ,,, 12.0 
47,RAM SPAG. SAUCE ITALIAN 250G,, -   , 25.15 , 25.15 ,,, 36.0 
48,RAM SPAG. SAUCE ITALIAN 560G,, -   , 54.95 , 54.95 ,,, 18.0 
49,RAM SPAG. SAUCE ITALIAN 1K,, -   , 77.10 , 77.10 ,,, 12.0 
50,RAM DRY PEAS,, 14.49 , 16.00 , 16.00 ,,, 100.0 
51,IODIZED SALT COARSE 500G,, 13.51 , 15.55 , 15.15 ,,, 24.0 
52,RAM GREEN PEAS - SUP 100G,, 11.24 , 13.15 , 13.15 ,,, 48.0 
53,GREEN PEAS  225G,, 21.27 , 24.15 , 24.15 ,,, 48.0 
54,GREEN PEAS 450G,, 34.84 , 39.55 , 39.55 ,,, 24.0 
55,PORK AND BEANS SUP 100G,, 13.51 , 15.35 , 15.35 ,,, 48.0 
56,PORK AND BEANS  165G,, 19.33 , 21.95 , 21.95 ,,, 50.0 
57,PORK AND BEANS  220G,, 28.05 , 31.85 , 31.85 ,,, 48.0 
58,PORK AND BEANS 390G,, 45.49 , 51.65 , 51.65 ,,, 24.0 
59,RAM RAISINS- BOX 30 G,, 98.46 , 111.90 , 111.90 ,,, 48.0 
60,RAM RAISINS - SACHET 50G,, 24.18 , 27.45 , 27.45 ,,, 96.0 
61,RAM RAISINS 100G,, 43.51 , 49.80 , 49.80 ,,, 48.0 
62,RAM RAISINS 200G,, 85.15 , 94.20 , 94.20 ,,, 24.0 
63,RAM IODIZED SALT 250G,, 8.66 , 10.50 , 10.50 ,,, 48.0 
64,RAM IODIZED SALT 500G,, 16.41 , 18.90 , 18.90 ,,, 24.0 
65,RAM IODIZED SALT 1KG,, 30.45 , 37.75 , 37.75 ,,, 12.0 
66,TOMATO PASTE- SACHET 70 G,, 12.55 , 14.25 , 14.25 ,,, 72.0 
67,TOMATO PASTE- SUP 150G,, 24.18 , 27.45 , 27.45 ,,, 48.0 
68,TOMATO PASTE -SUP 500G,, 77.47 , 85.70 , 85.70 ,,, 18.0 
69,TOMATO PASTE -SUP 1KG.,, 145.30 , 160.70 , 160.70 ,,, 12.0 
70,TOMATO SAUCE- FILIPINO STYLE 115G,, 14.00 , 15.90 , 15.90 ,,, 48.0 
71,TOMATO SAUCE- FILIPINO STYLE 250G,, 18.77 , 21.95 , 21.95 ,,, 48.0 
72,TOMATO SAUCE- FILIPINO STYLE 1K,, 68.27 , 75.50 , 75.50 ,,, 12.0 
73,TOMATO SAUCE SUP 115G,, 14.00 , 15.90 , 15.90 ,,, 48.0 
74,TOMATO SAUCE SUP 200G,, 17.36 , 20.30 , 20.30 ,,, 48.0 
75,TOMATO SAUCE SUP 250G,, 18.77 , 21.95 , 21.95 ,,, 48.0 
76,TOMATO SAUCE-SUP 1K,, 68.27 , 75.50 , 75.50 ,,, 12.0 
77,RAM HOT SAUCE 100ML,, 20.28 , 23.00 , 23.00 ,,, 48.0 
78,RAM SWEET PCKLE RELISH 100G,, 31.90 , 36.20 , 36.20 ,,, 48.0 
79,RAM PICKLE RELISH 135G,, 53.20 , 58.85 , 58.85 ,,, 24.0 
80,RAM PICKLE WHOLE 135G,, 58.04 , 64.20 , 64.20 ,,, 24.0 
81,HOT SAUCE 1gl,, 261.35 , 289.00 , 289.00 ,,, 4.0 
82,RAM SWEET PICKLE RELISH 3700G,, -   , 839.19 , 839.19 ,,, 4.0 
83,SEVILLA DRY PEAS,, 13.52 , 15.35 , 15.35 ,,, 100.0 
84,SEVILLA PICKLE RELISH 3700G,, 735.73 , 797.25 , 797.25 ,,, 4.0 
85,MITRA PALM OIL 485ml,, 64.61 , 70.00 , 70.00 ,,, 24.0 
86,MITRA PALM OIL 950ml,, 110.16 , 120.65 , 120.65 ,,, 12.0 
87,OYSTER SAUCE 72x70g,, -   , 12.80 , 12.80 ,,, 72.0 
88,OYSTER SAUCE 144x30g,, -   , 7.45 , 7.45 ,,, 144.0 
89,MASTER FLOORWAX RED 90g,, 18.51 , 20.80 , 20.80 ,,, 72.0 
90,MASTER FLOORWAX DYE WAX 90g,, 19.51 , 21.95 , 21.95 ,,, 72.0 
91,MASTER FLOORWAX COLORLESS,, 18.50 , 20.80 , 20.80 ,,, 72.0 
92,STARCH POWDER,, 19.00 , 22.50 , 22.50 ,,, 150.0 
93,MISUA 12's,, 26.50 , 30.00 , 30.00 ,,, 100.0 
94,ODONG 12's NEW,, 22.50 , 26.00 , 26.00 ,,, 100.0 
95,KAONG RED 8oz,, 49.40 , 54.35 , 54.35 ,,, 24.0 
96,KAONG GREEN  8oz,, 49.40 , 54.35 , 54.35 ,,, 24.0 
97,KAONG RED 12oz,, 67.69 , 74.50 , 74.50 ,,, 24.0 
98,KAONG GREEN 12oz,, 67.69 , 74.50 , 74.50 ,,, 24.0 
100,NATA DE COCO RED 8oz,, 39.19 , 43.15 , 43.15 ,,, 24.0 
101,NATA DE COCO GREEN  8oz,, 39.19 , 43.15 , 43.15 ,,, 24.0 
102,NATA DE COCO WHITE 8oz,, 39.19 , 43.15 , 43.15 ,,, 24.0 
103,NATA RED 12oz,, 48.93 , 54.80 , 54.80 ,,, 24.0 
104,NATA GREEN 12oz,, 48.93 , 54.80 , 54.80 ,,, 24.0 
105,NATA WHITE 12oz,, 48.93 , 54.80 , 54.80 ,,, 24.0 
106,KAONG RED  24oz,, 117.09 , 128.80 , 128.80 ,,, 12.0 
107,KAONG GREEN 24oz,, 117.09 , 128.80 , 128.80 ,,, 12.0 
108,NATA RED 24oz,, 97.14 , 106.85 , 106.85 ,,, 12.0 
109,NATA GREEN 24oz,, 97.14 , 106.85 , 106.85 ,,, 12.0 
110,NATA WHITE  24oz,, 97.14 , 106.85 , 106.85 ,,, 12.0 
111,NATA RED 32OZ,, 105.93 , 121.85 , 121.85 ,,, 12.0 
112,NATA GREEN 32OZ,, 105.93 , 121.85 , 121.85 ,,, 12.0 
113,TRU MAYO 200ml,, 31.35 , 35.00 , 35.00 ,,, 48.0 
114,TRU MAYO 1.8L,, 168.63 , 186.00 , 186.00 ,,, 8.0 
115,TRUMAYO 3.5L,, 303.76 , 325.00 , 325.00 ,,, 4.0 
116,YUMMEE PUDDING,, 31.19 , 35.00 , 35.00 ,,, 20.0 
117,YUMMEE JELLY,, 31.19 , 35.00 , 35.00 ,,, 20.0 
118,TENDER LOVE PAPAYA WIPES,, 35.61 , 40.95 , 40.95 ,,, 36.0 
119,TENDER LOVE SCENTED,, 34.68 , 40.95 , 40.95 ,,, 36.0 
120,TENDER LOVE SWEET DELIGHT,, 35.61 , 40.95 , 40.95 ,,, 36.0 
121,TENDER LOVE BABY WIPES UNSCENTED,, 34.68 , 40.95 , 40.95 ,,, 36.0 
122,T.L ALOEVERA single ,, 35.61 , 40.95 , 40.95 ,,, 36.0 
123,TENDER LOVE PAPAYA 3+1,, 106.83 , 119.70 , 119.70 ,,, 9.0 
124,TENDER LOVE SWEET DELIGHT 3+1,, 106.83 , 119.70 , 119.70 ,,, 9.0 
125,TENDER LOVE SCENTED 3+1,, 104.04 , 119.70 , 119.70 ,,, 9.0 
126,TENDER LOVE UNSCENTED 3+1,, 104.04 , 119.70 , 119.70 ,,, 9.0 
127,T.L ALOEVERA 3+1,, 106.83 , 119.70 , 119.70 ,,, 9.0 
128,KOJIC SOAP ,, 50.35 , 56.40 , 56.40 ,,, 150.0 
129,KOJIC SOAP GLUTHA,, 52.96 , 59.35 , 59.35 ,,, 150.0 
130,RED FALCON MALLORCA 24x350ml,, 38.95 , 43.10 , 43.10 ,,, 24.0 
131,RED FALCON MALLORCA 12x750ml,, 75.21 , 83.20 , 83.20 ,,, 12.0 
132,CAMEL SOY SAUCE 3.8L,, 172.26 , 191.00 , 191.00 ,,, 4.0 
134,CAMEL SOY SAUCE 1.9ltr,, 88.71 , 102.00 , 102.00 ,,, 6.0 
135,CAMEL SOY SAUCE 1000ml w/HANDLE,, 47.58 , 54.75 , 54.75 ,,, 12.0 
136,CAMEL SOY SAUCE 385ml,, 19.56 , 22.50 , 22.50 ,,, 24.0 
137,CAMEL SOY SAUCE 200ml,, 8.97 , 10.30 , 10.30 ,,, 48.0 
138,CAMEL SOY SAUCE 100ML,, 5.98 , 6.90 , 6.90 ,,, 72.0 
139,CAMEL SUKANG PUTI 200ml,, 6.31 , 7.25 , 7.25 ,,, 48.0 
140,SUKA PUTI 12x1ltr,, 35.50 , 41.20 , 41.20 ,,, 12.0 
141,WHITE HOUSE BLACK BEANS 120g,, 20.25 , 23.50 , 23.50 ,,, 100.0 
142,CAMEL BLACK BEANS 60g,, 10.75 , 14.00 , 14.00 ,,, 100.0 
143,CAMEL BLACK BEANS 100g,, 15.25 , 18.00 , 18.00 ,,, 100.0 
144,CHOYO CHOYO CHOCO,, 67.00 , 70.00 , 70.00 ,,, 6.0 
145,CHOYO CHOYO UBE,, 67.00 , 70.00 , 70.00 ,,, 6.0 
146,CHOYO CHOYO STRAWBERRY,, 67.00 , 70.00 , 70.00 ,,, 6.0 
147,TOILY B. T.  SINGLE  X 96,, 8.33 , 9.50 , 9.50 ,,, 96.0 
148,HELLO BATH. TISSUE SINGLE,, 12.29 , 14.30 , 14.30 ,,, 96.0 
149,HELLO BATH. TISSUE X4,, 47.66 , 53.40 , 53.40 ,,, 24.0 
150,HELLO BATHROOM TISSUE 8 x 12,, 138.20 , 154.80 , 154.80 ,,, 8.0 
151,FOLDED TBL NAP 50's      80,, 14.90 , 16.90 , 16.90 ,,, 80.0 
152,CHOCO JOY,, 35.48 , 37.00 , 37.00 ,,, 40.0 
153,CHAMPI,, 35.48 , 37.00 , 37.00 ,,, 40.0 
154,YAKEE,, 24.01 , 26.00 , 26.00 ,,, 40.0 
155,PINTORA,, 24.01 , 26.00 , 26.00 ,,, 40.0 
156,FRUTOS ORIG,, 33.71 , 36.00 , 36.00 ,,, 40.0 
157,FRUTOS SAMPALOK,, 33.71 , 36.00 , 36.00 ,,, 40.0 
158,FRUTOS STRAWBERRY,, 33.71 , 36.00 , 36.00 ,,, 40.0 
159,FRUTOS TROPICAL,, 33.71 , 36.00 , 36.00 ,,, 40.0 
160,FRUTOS MILK,, 33.71 , 36.00 , 36.00 ,,, 40.0 
161,V FRESH,, 33.71 , 36.00 , 36.00 ,,, 40.0 
162,FROOTY RAINBOW POP,, 28.42 , 30.50 , 30.50 ,,, 40.0 
163,FROOTY CHOCO POP,, 28.42 , 30.50 , 30.50 ,,, 40.0 
